tweet_id,raw_text,expected_event_type,expected_event_date,expected_location_raw,expected_location_type,expected_state,expected_district,expected_assembly_constituency,expected_block,expected_gp_or_ward,expected_ulb_name,expected_people_handles,expected_people_names,expected_schemes,expected_hashtags,expected_target_groups,expected_communities,expected_organizations,expected_security_type,expected_sentiment_political,notes
1991484499914551567,"नवा रायपुर में स्थापित जनजातीय संग्रहालय सह स्मारक समस्त प्रदेशवासियों की प्रेरणा का प्रतीक बनेगा। जनजातीय समाज का इतिहास, भारत का गौरवशाली अध्याय है। इसका प्रमुख उदाहरण मुरिया दरबार का आदिम जन-संसद है।  - महामहिम राष्ट्रपति श्रीमती द्रौपदी मुर्मु जी @rashtrapatibhvn",अन्य,2025-11-20,नवा रायपुर,urban,Chhattisgarh,रायपुर,,,,,[],"[""द्रौपदी मुर्मु""]",[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.7)
1991470463206527328,"आज अंबिकापुर में महामहिम राष्ट्रपति श्रीमती द्रौपदी मुर्मु जी के मुख्य आतिथ्य में आयोजित जनजातीय गौरव दिवस समारोह में आदरणीय केंद्रीय राज्य जनजातीय कार्य मंत्री श्री दुर्गा दास उइके जी, माननीय राज्यपाल श्री रमेन डेका जी, माननीय मुख्यमंत्री श्री विष्णु देव साय जी एवं माननीय केंद्रीय राज्य मंत्री श्री तोखन साहू जी के साथ सम्मिलित होना अत्यंत गर्व का विषय रहा। राष्ट्रपति महोदया का छत्तीसगढ़ के जनजातीय समाज के प्रति स्नेह, आत्मीयता और संवेदनशीलता ने इस दिवस की गरिमा को और भव्य बना दिया।  इस अवसर पर भाजपा प्रदेश अध्यक्ष माननीय श्री किरण सिंह देव जी, कैबिनेट के साथीगण सहित अन्य गणमान्य उपस्थित रहे।  @rashtrapatibhvn @DdUikey @vishnudsai @ramendeka16 @tokhansahu_bjp @KiranDeoBJP @ramvicharnetam @KedarKashyapBJP  #JanjatiyaGauravDiwas #Ambikapur #PresidentOfIndia",धार्मिक / सांस्कृतिक कार्यक्रम,2025-11-20,अंबिकापुर,urban,Chhattisgarh,सरगुजा,,,,,[],"[""किरण सिंह देव"", ""केंद्रीय राज्य"", ""तोखन साहू"", ""दुर्गा दास उइके"", ""द्रौपदी मुर्मु"", ""महोदया का छत्तीसगढ़"", ""रमेन डेका"", ""विष्णु देव साय""]",[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.95)
1991445498151289139,"नवा रायपुर छत्तीसगढ़ का नया टेक्सटाइल हब... 82 एकड़ में टेक्सटाइल पार्क और 20 एकड़ में रेडीमेड गारमेंट जोन विकसित किया जा रहा है। एनआईएफटी कैंपस के साथ एकीकृत टेक्सटाइल और अपैरल इकोसिस्टम, छत्तीसगढ़ के वस्त्र उद्योग को नई गति देने के साथ रोजगार और निर्यात दोनों को बढ़ावा देने का काम करेगी।  #NavaRaipur #ChhattisgarhTextileHub #NIFT #MakeInChhattisgarh  #EmploymentGrowth",अन्य,2025-11-19,नवा रायपुर,urban,Chhattisgarh,रायपुर,,,,,[],[],[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.7)
1991433908383060049,"जनजातीय गौरव दिवस समारोह 2025 के अवसर पर अंबिकापुर में आयोजित कार्यक्रम में महामहिम राष्ट्रपति श्रीमती द्रौपदी मुर्मू जी, आदरणीय केंद्रीय राज्य जनजातीय कार्य मंत्री श्री दुर्गा दास उइके जी, माननीय राज्यपाल श्री रमेन डेका जी, माननीय मुख्यमंत्री श्री विष्णु देव साय जी, माननीय सांसद श्री चिंतामणि महाराज जी तथा मंत्रिमंडल के सदस्यों के साथ सामूहिक चित्र। @rashtrapatibhvn @DdUikey @ramendeka16 @vishnudsai",धार्मिक / सांस्कृतिक कार्यक्रम,2025-11-19,अंबिकापुर,urban,Chhattisgarh,सरगुजा,,,,,[],"[""चिंतामणि महाराज"", ""दुर्गा दास उइके"", ""द्रौपदी मुर्मू"", ""रमेन डेका"", ""विष्णु देव साय""]",[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.95)
1991428224157708480,छत्तीसगढ़ भाजपा के प्रदेश प्रभारी एवं बांकीपुर विधायक माननीय श्री नितिन नबीन जी को बिहार सरकार में कैबिनेट मंत्री के रूप में शपथ ग्रहण करने पर हार्दिक बधाई एवं शुभकामनायें।  @NitinNabin    #विकसित_बिहार_का_शपथ,शुभकामना / बधाई,2025-11-19,Patna,district,Chhattisgarh,Patna,,,,,[],"[""के रूप में"", ""नितिन नबीन""]",[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.95)
1991419570394132565,"बिहार के मुख्यमंत्री पद की शपथ ग्रहण करने पर माननीय श्री नीतीश कुमार जी और उपमुख्यमंत्री पद की शपथ लेने पर माननीय श्री सम्राट चौधरी जी और माननीय श्री विजय सिन्हा जी को हार्दिक बधाई एवं शुभकामनायें।   आदरणीय प्रधानमंत्री श्री नरेंद्र मोदी जी के यशस्वी मार्गदर्शन में 'विकसित बिहार' की दिशा में यह नई शुरुआत प्रदेश को नई ऊँचाइयों तक ले जाये, यही मंगलकामना है। @narendramodi @NitishKumar @samrat4bjp @VijayKrSinhaBih @BJP4Bihar",शुभकामना / बधाई,2025-11-19,Patna,district,Chhattisgarh,Patna,,,,,[],"[""नरेंद्र मोदी"", ""नीतीश कुमार"", ""पद की शपथ"", ""विजय सिन्हा"", ""सम्राट चौधरी""]",[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.85)
1991410196355379259,"माननीय केंद्रीय वित्त राज्य मंत्री श्री पंकज चौधरी जी को जन्मदिन की हार्दिक शुभकामनायें। देश के वित्तीय सशक्तिकरण और विकास के प्रति आपका योगदान सराहनीय हैं।  प्रभु श्रीराम जी से आपके उत्तम स्वास्थ्य, दीर्घायु और निरंतर सफलता की कामना करता हूं। @mppchaudhary",शुभकामना / बधाई,2025-11-19,Patna,district,Chhattisgarh,Patna,,,,,[],"[""केंद्रीय वित्त राज्य"", ""पंकज चौधरी""]",[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.85)
1991396628406890866,छत्तीसगढ़ की पावन भूमि अंबिकापुर आगमन के अवसर पर महामहिम राष्ट्रपति श्रीमती द्रौपदी मुर्मू जी का आत्मीय स्वागत किया।  जनजातीय गौरव दिवस के उपलक्ष्य में आयोजित कार्यक्रम में आपका आगमन सम्पूर्ण प्रदेश के लिए गौरवपूर्ण क्षण है। @rashtrapatibhvn   #Ambikapur,धार्मिक / सांस्कृतिक कार्यक्रम,2025-11-19,अंबिकापुर,urban,Chhattisgarh,सरगुजा,,,,,[],"[""द्रौपदी मुर्मू""]",[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.95)
1991370002818298076,"छत्तीसगढ़ की पावन धरा पर महामहिम राष्ट्रपति श्रीमती द्रौपदी मुर्मू जी का हार्दिक स्वागत, वंदन एवं अभिनंदन। @rashtrapatibhvn  #Ambikapur",अन्य,2025-11-19,अंबिकापुर,urban,Chhattisgarh,सरगुजा,,,,,[],"[""द्रौपदी मुर्मू""]",[],[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.6)
1991332340204003707,"जीएसटी कार्यालय भवन का लोकार्पण... 📍सेक्टर-21, नवा रायपुर (अटल नगर)  #GST",उद्घाटन,2025-11-19,नवा रायपुर,urban,Chhattisgarh,रायपुर,,,,,[],[],"[""GST""]",[],[],[],[],,,Auto-generated from Parser V2 (Confidence: 0.95)
